Rok,Pierwotny (PLN/m2),Wtórny (PLN/m2),Pierwotny_Change,Wtorny_Change
2006,3405,3011,,
2007,4646,4202,36.44640234948604,39.55496512786449
2008,5482,4646,17.99397331037451,10.566396953831504
2009,5149,4423,-6.074425392192628,-4.799827808867841
2010,4825,4304,-6.292483977471353,-2.6904815735925847
2011,4892,4119,1.3886010362694323,-4.298327137546465
2012,4706,3875,-3.8021259198691704,-5.9237679048312675
2013,4579,3806,-2.6986825329366804,-1.7806451612903174
2014,4744,3809,3.603406857392444,0.07882291119285512
2015,4739,3812,-0.1053962900505856,0.07876082961406627
2016,4846,3963,2.2578603080818826,3.961175236096537
2017,5181,4209,6.912917870408575,6.207418622255867
2018,5578,4633,7.662613395097462,10.073651698740793
2019,6475,5311,16.081032628182147,14.634146341463406
2020,6988,5943,7.922779922779921,11.899830540387878
2021,8241,6629,17.93073840870063,11.542991755005882
2022,10206,7733,23.844193665817247,16.654095640368084
2023,10782,8022,5.64373897707231,3.7372300530195357
2024,11790,8950,9.348914858096835,11.568187484417859
2025,12023,8811,1.976251060220524,-1.5530726256983263
